Layer	wireNum	wireLen
M1	73746	55603.7999999968
M2	131331	604985.39000013
M3	128909	1057301.64999992
M4	90028	523091.715000061
M5	57555	511741.685000069
M6	47384	559845.855000027
M7	18621	119494.894999994
M8	11849	145211.434999997
M9	4718	45708.7849999999
M10	3365	80487.4999999998

Mean and Deviations
M1	0.75399072492063	2.56208374668973
M2	4.60656958372456	6.17914384300351
M3	8.20192267413385	9.22373960409013
M4	5.81032251077511	7.09030452934601
M5	8.89135062114619	10.7028875658465
M6	11.8150822007434	16.1845160043516
M7	6.41721148166015	7.39957693362152
M8	12.2551637268966	20.3026458022193
M9	9.68816977532851	21.2634593520964
M10	23.9190193164933	21.0870312677271
